tournament,player,deck_number,deck
Casual,LeonidG,23,[Bashing]/Demonology/Necromancy
Casual,Andrew,1,[Discipline/Ninjitsu/Strength]
Casual,AntonR,2,[Balance/Feral/Growth]
Casual,LeonidG,24,[Peace]/Present/Strength
Casual,LarikB,1,[Demonology/Disease/Necromancy]
Casual,Boris,2,[Future/Past/Present]
Casual,MikhailB,4,[Discipline/Strength]/Demonology
Casual,MikhailB,5,[Demonology/Disease/Necromancy]
Casual,LeonidG,25,[Demonology]/Anarchy/Balance
Casual,DmitryK,1,[Discipline/Ninjitsu/Strength]
Casual,LeonidG,26,[Feral]/Anarchy/Present
"Monocolour-only, first Moscow offline event with floor rules enforcement",ValentineA,1,[Demonology/Disease/Necromancy]
"Monocolour-only, first Moscow offline event with floor rules enforcement",LarikB,1,[Future/Past/Present]
"Monocolour-only, first Moscow offline event with floor rules enforcement",EgorS,1,[Law/Peace/Truth]
"Monocolour-only, first Moscow offline event with floor rules enforcement",LeonidG,1,[Discipline/Ninjitsu/Strength]
"Monocolour-only, first Moscow offline event with floor rules enforcement",AlexanderV,1,[Finesse]/Demonology/Peace
Moscow Igrokon qualifier,bolyarich,1,[Demonology/Necromancy]/Finesse
Moscow Igrokon qualifier,LeonidG,1,[Finesse]/Peace/Truth
Moscow Igrokon qualifier,MikhailB,1,[Future/Past/Present]
Moscow Igrokon qualifier,AlexeyN,1,[Demonology/Disease/Necromancy]
Moscow Igrokon qualifier,DinaB,1,[Balance/Feral/Growth]
Moscow Igrokon qualifier,VladP,1,[Demonology/Disease/Necromancy]
Moscow Igrokon qualifier,VladC,1,[Anarchy/Blood/Fire]
Moscow Igrokon qualifier,AntonR,1,[Blood]/Balance/Feral
Igrokon Moscow vs. Petersburg showmatches,bolyarich,1,[Demonology/Necromancy]/Finesse
Igrokon Moscow vs. Petersburg showmatches,DmitryK,1,[Future/Past/Present]
Igrokon Moscow vs. Petersburg showmatches,KseniaP,1,[Anarchy/Blood/Fire]
Igrokon Moscow vs. Petersburg showmatches,MikhailP,1,[Necromancy]/Balance/Feral
Igrokon Moscow vs. Petersburg showmatches,LeonidG,1,[Discipline/Ninjitsu/Strength]
Petersburg Igrokon qualifier,IvanP,1,[Law]/Discipline/Future
Petersburg Igrokon qualifier,RitaP,1,[Future/Past]/Finesse
Petersburg Igrokon qualifier,MaximP,1,[Fire]/Disease/Present
Petersburg Igrokon qualifier,SlavaP,1,[Necromancy]/Balance/Ninjitsu
Petersburg Igrokon qualifier,DmitryK,1,[Future/Past/Present]
Petersburg Igrokon qualifier,VladPt,1,[Law/Peace/Truth]
Petersburg Igrokon qualifier,NikolP,1,[Demonology/Disease/Necromancy]
Petersburg Igrokon qualifier,NickolP,1,[Demonology/Disease/Necromancy]
Petersburg Igrokon qualifier,MikhailP,1,[Balance/Feral/Growth]
Petersburg Igrokon qualifier,KseniaP,1,[Anarchy/Blood/Fire]
Casual,AlexV,1,[Finesse]/Demonology/Law
Casual,MikhailB,6,[Future/Past/Present]
Casual,SergeiB,3,[Future]/Ninjitsu/Truth
Casual,Boris,3,[Demonology/Disease/Necromancy]
Casual,LeonidG,27,[Anarchy]/Feral/Growth
Casual,AlexeyN,3,[Anarchy/Blood/Fire]
Casual,LeonidG,28,[Past]/Anarchy/Peace
Casual,LeonidG,29,[Balance/Feral/Growth]
Casual,LeonidG,30,[Demonology/Necromancy]/Blood
Casual,LeonidG,31,[Anarchy/Blood]/Growth
Casual,LeonidG,32,[Necromancy]/Blood/Truth
Casual,AlexanderG,3,[Disease]/Anarchy/Discipline
Casual,LeonidG,33,[Finesse]/Disease/Past
Casual,LeonidG,34,[Growth]/Demonology/Future
Casual,LeonidG,35,[Feral/Growth]/Finesse
Casual,LeonidG,36,[Anarchy/Blood]/Finesse
Casual,LeonidG,37,[Necromancy]/Growth/Strength
Casual,ArtemS,1,[Demonology/Disease/Necromancy]
Casual,LeonidG,38,[Past]/Blood/Peace
Casual,LeonidG,39,[Feral]/Future/Truth
Casual,LeonidG,40,[Growth]/Anarchy/Fire
Casual,IvanB,1,[Future/Past/Present]
Casual,AlexeyN,4,[Law/Peace/Truth]
Casual,Boris,4,[Law/Peace/Truth]
Casual,DenisM,1,[Balance/Feral/Growth]
"Monocolour-only, first Moscow offline event with floor rules enforcement",AntonR,1,[Anarchy/Blood/Fire]
"Monocolour-only, first Moscow offline event with floor rules enforcement",AnatolyM,1,[Future/Past/Present]
"Monocolour-only, first Moscow offline event with floor rules enforcement",SergeiB,1,[Feral]/Anarchy/Blood
Moscow Igrokon qualifier,DenisM,1,[Balance]/Present/Truth
Moscow Igrokon qualifier,AnastasiaK,1,[Anarchy/Blood/Fire]
Igrokon Moscow vs. Petersburg showmatches,AntonR,1,[Bashing]/Balance/Growth
Petersburg Igrokon qualifier,AlexanderP,1,[Law/Peace/Truth]
